order,Target 1,attribute a,attribute b,Target 2,attribute a,attribute b,Target 3,attribute a,attribute b,Target 4,attribute a,attribute b,Target 5,attribute a,attribute b,Target 6,attribute a,attribute b,Target 7,attribute a,attribute b,Target 8,attribute a,attribute b,Target 9,attribute a,attribute b,Target 10,attribute a,attribute b,Target 11,attribute a,attribute b,Target 12,attribute a,attribute b,Target 13,attribute a,attribute b,Target 14,attribute a,attribute b,Target 15,attribute a,attribute b,Target 16,attribute a,attribute b,Target 17,attribute a,attribute b,Target 18,attribute a,attribute b,Target 19,attribute a,attribute b,Target 20,attribute a,attribute b
24,4.974305861,4.090002812,3.795459832,5.009213791,4.01098393,4.012648969,4.99022698,4.043949201,3.866723173,4.725236891,3.823452154,4.17413871,4.752041273,3.887315943,3.96942052,4.639009532,4.083331715,3.951256049,4.818135477,4.009494521,3.897635517,4.723939408,4.029677247,3.822759681,4.700926499,3.815758681,4.029674692,4.666145419,3.688531837,3.964794968,4.62507348,3.651048746,3.988128059,4.726760947,4.056270161,3.979301452,5.006426125,4.042317762,3.888501903,4.673871966,3.85009797,4.051396966,4.577892717,4.151876832,3.953131653,4.94113942,3.48260692,4.123325068,4.630633263,3.687278094,3.974647447,4.944782612,4.010338194,4.150587745,4.766069814,4.051542689,4.14762824,4.989485421,3.982965333,3.947809408
25,4.997631459,3.592055427,3.569285033,4.811517864,3.670136641,3.805331125,4.812034926,3.651418968,4.000660502,4.620330644,4.11249382,4.170034199,4.964544217,3.913036544,4.159184449,4.85532145,4.170961384,3.876223893,4.57651559,3.949963725,4.123842176,4.580485012,3.725569073,3.770141165,4.536286018,3.895674253,3.806449647,4.84195627,3.9633028,3.649188812,4.549711103,4.007690308,3.869465306,4.940430442,3.862928112,3.77248516,4.570677756,4.014135166,3.817940412,4.71766571,3.900379208,4.083159024,4.72519109,3.721349921,4.034315377,4.709259579,3.91514333,3.921730317,4.827979643,4.042075588,3.867057968,4.90232853,4.099029405,3.894265395,4.573291817,3.535597492,3.763960859,4.695468294,4.083404047,3.985792803
26,4.573211502,3.957335653,3.931671272,4.608779635,4.011285349,4.03280135,4.700058761,3.980099936,3.941898338,4.680003109,4.207716827,3.977507663,4.928459988,4.130253217,4.190737966,4.75949303,4.047794688,4.161280712,4.647184751,4.194238732,4.19870307,4.551571527,3.964556223,3.915566257,4.683291857,3.579728656,4.044761729,4.794721453,4.001896564,3.688088413,4.659774949,3.901947953,3.735986031,5.013729818,3.547869061,3.587227035,4.735641811,4.176672259,4.016410182,4.482140412,4.074196823,3.964449244,4.897436308,3.9325598,4.244723952,4.85955991,3.836625834,4.063248868,4.901641781,4.139289831,3.673882137,4.773541757,4.108750063,3.933105867,4.658564506,4.148709524,4.209386108,4.875352831,4.164373147,4.203904698
27,4.513153337,4.039323301,4.199236621,4.908805947,3.824026819,3.799448929,4.701024125,4.054343205,4.179749054,4.855308397,4.148597751,4.096561857,4.695449331,4.088951781,4.25194996,4.737680673,3.846539638,4.294107689,5.092107984,4.143722873,3.74164772,4.819759145,4.23461789,3.86159402,4.913038016,3.75575917,4.072284594,4.926314253,4.176959038,3.768528467,4.603813801,3.585688576,3.628248639,4.95931283,4.109927955,3.966116205,4.995786706,4.023179407,3.84045237,4.762750447,3.988590308,3.746296545,4.621518032,4.247860156,4.025321384,5.022554089,4.153193968,4.247004715,4.738558437,3.886222568,4.241513352,4.7626956,3.952018049,3.841845672,5.050773244,4.024268324,4.006434263,4.642717384,3.753562708,4.129988496
28,4.629973104,4.33141697,3.755057351,4.938866753,4.235107602,4.280953627,4.780351997,3.707810094,3.78769617,4.733920149,4.208819197,4.256788165,4.877704291,4.263217496,3.904133168,5.009715138,4.087338044,4.218922558,4.938702184,3.738796121,4.265023926,4.975324252,4.146860089,3.707191932,4.821518631,4.004613123,4.302950996,4.90744901,3.945936781,3.691021027,4.830345596,4.111743844,4.12985878,4.781261708,3.931894627,4.203018664,4.870625563,4.044317927,4.274158524,4.516707905,3.696172642,4.211486056,4.977700398,4.030045174,3.901640422,4.63761705,3.770052026,4.090885521,4.875234526,4.088241627,4.238476158,5.012756056,3.809461507,4.227245181,4.835580501,4.049534081,4.152881298,4.969278114,4.157414543,4.206923349
29,4.930837094,4.152248307,4.201877737,4.943218105,4.376756987,4.145852845,4.880911568,4.228447808,3.685251401,4.765097787,4.227763957,4.210992376,4.888680639,4.139581779,4.23378124,5.020348359,4.00422772,3.89338871,4.775236754,3.802279745,4.130890369,4.798092539,4.022107031,4.298919507,4.941086702,3.828774292,3.822142378,4.921413929,4.144070523,4.090775096,4.979255615,4.290627167,3.825278025,4.888253853,4.028605893,3.868989071,5.12262517,3.867717986,4.065100435,5.048589885,4.034881247,4.177749111,4.942358815,3.871699385,4.34236221,4.699343099,4.249891913,4.260741741,5.062610144,4.214553798,4.272477545,4.671774518,4.246485382,3.632621929,5.081654061,4.312155938,3.820124279,4.888345239,4.092884515,4.161177658
30,4.943871777,4.23908345,3.908347415,4.542594406,4.216960537,3.784708105,5.003772276,4.385964495,3.930794774,4.668094769,4.202586157,4.282988413,4.762665814,3.917690794,4.244196291,4.718939466,4.113260967,3.95621153,4.928521592,3.797707859,3.835374998,4.838348566,3.848666457,4.110394213,5.06943275,3.996159462,3.738594154,4.799342928,3.958182976,4.193802438,4.637421663,4.199672907,3.80439723,4.784033295,4.229278412,4.237602529,4.862189739,4.033385886,4.342966659,4.821554177,3.858285746,4.071585572,4.776758141,4.105830988,4.298186639,4.876390607,4.301510595,4.327846388,4.857071921,4.140348755,3.766371673,5.057706496,4.162731246,4.09849781,4.635787634,4.182314585,4.225703008,5.016064794,4.038853105,4.239150069
31,4.777704536,4.119020558,3.951748157,4.806504583,4.009710799,4.130847106,4.926845665,4.072508921,3.701800843,4.709817602,3.881302888,3.93874254,4.654099195,4.375916683,4.02755171,4.853628862,4.018322775,4.098218434,4.875750891,4.291808155,3.833317418,4.869758887,3.943200819,4.153716899,4.981764222,3.779464936,4.063848013,4.986719741,3.933755446,3.986921442,4.655829524,4.174855259,4.201227615,4.941914061,4.14947572,4.241283895,4.990250898,4.263380464,3.873067596,4.947602553,4.051768814,3.917290714,4.724538785,3.998948573,3.682295832,5.012694326,3.85077847,4.317151133,4.878875751,4.317880031,4.052862296,4.942745783,4.086169323,4.107843361,4.865806622,4.28224837,3.666693049,4.959525153,3.857232208,4.115723824
32,5.007032107,4.12540499,4.367373794,4.958842702,4.357064188,4.327885844,4.842343118,4.39592508,3.819833032,5.095321876,4.367560936,4.345655491,4.678772891,4.171062985,4.307700159,4.733658768,4.017552482,3.874872682,4.90286405,4.322486058,4.337064007,4.870566113,4.411288838,4.403369196,4.741613692,4.263470393,4.234068834,4.978764771,3.887027307,3.918573055,4.887808929,4.131610329,4.193816954,4.983369289,3.819677745,4.361561535,4.961884726,4.328726009,4.31893304,5.133592425,3.98502932,3.801772168,4.790985766,3.910360834,4.059528793,4.79855927,4.221618108,4.218398906,5.07788107,3.830351837,4.255203487,4.877914448,4.023565474,4.09159155,4.89520684,4.263682002,3.960757225,4.52501716,3.907236188,4.184638145
33,4.731792185,4.144243917,4.127392812,5.043194631,4.294308598,4.383974192,4.74810107,4.279201648,4.367303979,4.775063526,4.339001427,3.913656591,5.054841636,3.932752026,4.292932635,4.779706581,4.28015901,4.292882869,4.898155915,4.113076028,3.936614504,5.041826005,4.436892926,3.840639405,4.932292757,4.25644149,4.435947283,4.731355199,4.309205889,4.267051743,4.902027361,4.264138129,4.430581658,4.89950583,4.362548506,3.771965692,4.936619497,3.846478878,4.32613279,4.854463203,4.116754143,3.871941872,4.931992601,4.372982593,3.979990514,5.037229215,4.224542645,4.064929995,4.853173142,3.736200475,4.191503701,4.871580882,3.811431522,4.377010432,4.789397153,4.155842468,4.036891856,4.919932242,3.910343506,4.456105834
34,5.023116474,4.352482622,4.238070043,4.938495468,4.284765832,4.003254707,4.885261659,3.860650987,4.110820591,4.959372442,4.189873649,4.320964406,5.110029152,3.982604249,4.345654852,4.913878508,4.036783175,4.260890827,4.60743743,4.425977875,4.279551751,4.978420914,4.156162975,4.33238635,4.949930563,4.274360934,3.804468876,4.963086109,4.350988536,4.246291192,4.860352154,3.959721001,4.427985952,4.946786685,4.060983015,4.296390171,4.718425588,4.01213814,4.220496053,4.764894317,4.181438877,4.081442367,4.917185385,4.247154317,4.372704852,4.725085116,4.468588068,4.201654503,4.604935651,4.310870413,4.229987167,4.945814959,4.130185036,4.205229203,5.10772717,4.134161669,4.013669208,4.996332592,4.032542268,4.308996434
35,4.611707174,4.243203735,4.325368458,4.853539487,3.935133614,3.943671301,5.166718917,4.057089471,4.50104709,4.63565154,4.073083389,4.383925506,4.615294499,3.904149014,4.467692867,4.890782774,3.940001761,4.429149689,5.049051928,4.042020249,4.181903778,4.718271823,4.06906187,4.478509607,4.920994909,4.418417252,3.94377759,4.985094503,4.229050675,4.318186494,4.843273911,4.356953146,4.240372665,5.058880374,4.182756443,4.435084567,5.00673288,4.402458301,4.14896243,5.059727639,4.441445854,4.472826879,4.89899868,4.41259887,3.993446854,4.971077073,4.075067513,4.075293635,4.907820257,4.300076831,4.400347496,5.043861947,4.317936036,4.4838174,4.907876158,4.215530104,4.219080444,4.710113389,4.481500233,4.220351388
36,4.993483602,4.244424703,4.095164877,4.647509078,4.541783697,4.22276699,5.177508015,3.908122075,4.419111693,4.892461492,4.435583564,4.241377673,4.813298112,3.948494552,3.916301351,4.976866015,4.354598527,4.254089063,4.815956058,4.453310814,4.174684621,4.940110691,4.461523261,4.356457103,5.063417716,4.060696075,4.376784706,4.62822006,4.303422734,4.322619822,4.982138722,4.493337782,4.32852006,5.091475143,4.256483343,4.115905155,4.73791878,4.396672882,4.20526366,4.870562654,4.300890165,4.120891144,4.850108513,4.510009944,4.32584434,4.923870813,3.922515936,3.947126671,5.208967973,4.334463512,4.435599861,5.072282598,4.470477791,4.545249855,5.098720506,4.329087019,4.335509399,4.96517748,4.269646647,4.464216371
37,4.974905874,4.268735361,4.045968249,4.958898032,4.230653997,4.256098734,4.994740614,4.536202791,4.363345622,5.042406894,4.097584998,4.404975762,5.148927073,4.325005471,3.948873634,5.035766541,4.49168094,4.006770436,4.643204928,4.310893099,4.005689251,4.730564803,4.125192174,4.06254211,4.845928046,4.361241933,4.421136689,4.661727717,4.338604755,4.30639095,4.975914826,4.151154367,4.37758415,5.128940531,4.298961659,4.05632445,4.965077131,4.31844737,4.111219607,4.703644491,4.434439689,4.047603202,5.157550111,4.003294588,4.387226621,4.911621025,4.380007523,4.01164968,4.981481738,4.326889903,4.504805109,4.958156047,4.511259165,3.938053629,4.888804017,4.320047022,4.117522303,4.628501703,4.183479052,4.549415399
