order,Target 1,attribute a,attribute b,Target 2,attribute a,attribute b,Target 3,attribute a,attribute b,Target 4,attribute a,attribute b,Target 5,attribute a,attribute b
23,4.766804819,3.65602446,3.758571371,4.864642052,3.683415322,3.885233631,4.868148322,3.523084232,3.932102091,4.777635798,4.043529329,3.953530329,4.744467596,4.022566379,3.733163213
24,4.783842022,3.967457342,3.765851024,4.429770754,3.962584405,4.017065615,4.830442547,4.002161862,4.119368929,4.616996277,4.094194509,4.057591581,4.956252683,4.04815747,4.14336972
25,4.707234313,3.926469155,3.971331819,4.72658907,4.200165832,4.145807128,4.653749802,4.028132566,3.701780574,4.546240481,4.060158829,3.787791474,4.588617018,3.615865208,3.657864022
26,4.86342017,4.18516592,3.99611642,4.846052822,4.047528311,4.030043707,4.735063642,3.785663238,3.830979186,4.765596799,3.955176428,3.842615672,4.97192558,3.808743478,4.016567806
27,4.79276383,3.648880433,3.871431895,5.000069186,3.800689109,3.898430731,4.741903923,3.692735876,4.018947036,4.511431653,3.88344865,4.160464367,4.995559541,3.88958451,4.246068587
28,4.868248168,3.805052869,3.800945934,5.027652435,4.049053704,3.921446261,4.75302121,3.838557232,3.705904645,4.874725203,4.100141124,4.065497701,4.720659256,4.313636207,3.862759816
29,4.909403132,4.219821215,4.198751272,5.031156391,4.287184043,3.863722581,4.788397742,3.814472598,3.864609985,4.85166094,3.673413664,3.855498562,4.821930821,4.257238268,3.982880602
30,5.065543241,4.258712929,3.782199165,4.51324799,3.942954571,3.619097127,4.967557872,4.14380947,4.27207796,4.835375846,4.344111455,3.808177069,5.049596709,3.876370763,3.899531003
31,5.01994188,4.026304045,3.720076157,4.818033917,4.021217098,4.187155342,4.947137177,3.808612358,4.334174154,4.770329884,3.989908988,3.915422603,4.881048543,4.076506533,4.096954781
32,4.857186438,4.332942948,3.846526738,4.825186252,4.374529899,4.065707256,4.881778736,4.288423548,4.242760232,5.145514255,3.930307344,3.952185386,4.874172263,4.181801724,4.233232505
33,4.974878628,4.190362017,4.073329351,5.130553935,4.00722649,4.384824335,4.722788395,3.936532567,3.844044498,4.934383432,4.266917253,4.166388832,4.617434424,4.215032641,4.051706747
34,5.143870773,3.928778385,3.914652874,4.832133851,4.251231971,3.906203517,4.716594618,4.092908677,4.354288104,5.07654317,4.004549915,3.89484971,4.938238942,3.952132719,4.431870321
35,5.100969795,4.236379487,4.023467763,4.76584879,4.521487832,4.060842893,4.838393459,4.340113836,4.221864577,4.970561191,4.382589923,3.845863124,4.904743625,4.209881859,4.347734781
36,5.073997799,4.434199309,4.068496188,5.043714412,4.524192498,4.468808702,4.851355267,3.998922653,4.52836181,5.093629674,4.255848826,4.525799661,4.852580524,4.32917248,4.154172282
37,4.772623554,4.36087059,4.236689193,4.97216996,4.250068626,4.177329249,5.147836103,4.253527501,4.192526772,4.618671328,4.390436717,3.984132066,4.927349852,4.557883151,4.575442528
38,4.980181128,4.041757706,4.371654347,5.075268002,4.312850944,4.049332082,5.187163808,4.510810578,4.099951245,4.624667693,3.864286899,4.504819364,5.008980253,4.346432635,4.396953874
39,5.028669437,4.366554438,4.422201849,4.949917117,4.304673816,4.503814024,4.900916707,4.520783037,4.087685166,4.99723772,4.26331257,4.367024751,4.71073197,4.001132215,4.155825563
40,5.03771327,4.009050082,4.49843684,4.858312555,4.334277366,4.2065828,4.991009918,4.609122277,4.53574741,5.054340438,4.490650604,4.171534313,5.034573069,4.226031704,3.965692063
41,5.089233089,4.550316777,4.172310581,4.791110994,4.28650027,4.088729688,5.056433164,4.093165922,4.572811684,4.672299773,4.112769257,4.487607082,4.985335753,4.169072545,4.523898581
42,4.947095514,4.464758107,4.067606644,4.975554428,4.56896753,4.263968397,5.180166539,4.477515484,4.441018457,4.732833625,4.149405588,4.140518209,5.076163645,4.64087737,4.546650046
43,4.948670468,4.344499294,4.609452062,5.119985632,4.463904516,4.53843842,5.140049541,4.539570629,4.653582247,4.848500645,4.451371745,4.270075025,5.107109562,4.18841705,4.171935445
44,5.122798985,4.678213293,4.553454928,5.182365536,4.049270941,4.43936867,4.9461348,4.248801874,4.327365368,5.01033599,4.065432921,4.520419312,4.979406034,4.661478,4.584649188
45,4.735075616,4.110952907,4.738369727,5.15344278,4.233270429,4.166114872,5.01174037,4.539332714,4.313170149,4.793717767,4.530261403,4.743566117,4.924450483,4.353124653,4.226300735
46,4.999494207,4.559843013,4.354316196,5.033991083,4.621179882,4.29467747,4.912739608,4.74604913,4.291495617,5.193684675,4.51368409,4.240766889,5.113837119,4.515101257,4.444646971
47,4.954995747,4.362500164,4.6480239,4.692835374,4.35496591,4.190981993,4.881673786,4.682583532,4.129751726,4.821747628,4.696438127,4.748433829,5.003165575,4.564036809,4.653720919
48,5.116901165,4.419614098,4.709360957,5.236108589,4.68342458,4.668644978,5.089823123,4.246953409,4.626865302,5.287503613,4.205582021,4.354708962,5.185365861,4.239681681,4.559155271
49,5.188347334,4.52220299,4.303234206,5.206994413,4.292574744,4.374095823,4.737209709,4.777039067,4.660682699,5.145635825,4.637378344,4.655742114,5.211262321,4.684807625,4.275289954
50,5.050662445,4.1793793,4.497055184,5.212161837,4.59450657,4.684973423,4.969209661,4.634059928,4.799929481,5.272883412,4.600209441,4.524189433,4.875816911,4.608226603,4.377074857
51,5.091303384,4.758791188,4.455952233,5.272580595,4.47229032,4.676770817,4.962475204,4.578172831,4.554977721,5.229632593,4.328034647,4.625141486,5.162219077,4.447173236,4.444840847
52,5.171818356,4.477785174,4.723330911,5.083630556,4.307650916,4.853258046,5.041807712,4.422953778,4.465488827,5.160895852,4.832208417,4.705530399,5.062359331,4.873694774,4.479377852
53,5.288290253,4.870117796,4.66667591,5.36049882,4.847007362,4.764307353,5.064699703,4.524219763,4.67651442,5.079040033,4.228774972,4.310452392,4.946364354,4.721625716,4.486675405
54,5.249696505,4.852979889,4.486867674,4.986740306,4.876093915,4.33176112,5.318180086,4.921528117,4.36793723,5.165268349,4.520208082,4.748242597,5.181087079,4.810567842,4.308280337
55,5.356055499,4.5664617,4.703246039,5.090361878,4.885884815,4.793845233,5.15643481,4.817379931,4.270890968,5.171421159,4.397266677,4.823787067,4.792284509,4.23788532,4.324322255
56,4.913925341,4.883814134,4.963391985,4.97038521,4.826257744,4.446532211,5.064543359,4.817705468,4.454215626,4.983928223,4.475917135,4.578956664,5.247002431,4.928317055,4.898977472
57,5.060295497,4.65349712,4.662334314,4.864388031,4.428820324,4.746209197,4.91794815,4.513377181,4.633502459,5.379404207,4.761497602,4.364080789,5.285789952,4.680419931,4.877744274
58,5.204429198,4.940686208,4.814419413,5.009532227,4.763274858,4.408259086,5.080310042,4.686152648,4.748703638,5.314116926,4.788781547,4.571107742,5.412212967,4.690589567,4.760856103
59,5.364797831,4.87030663,4.389333109,5.356574553,4.284758598,4.837769526,5.085737181,4.79061576,4.700343468,5.258781392,4.361579079,4.945494187,5.153114673,4.784346334,4.733933204
60,5.16623738,4.625370021,4.452239281,5.334897642,4.649490387,4.763531042,4.916549848,4.897274374,4.683973262,4.988839339,4.662767871,4.587792825,5.021069479,4.736771426,4.395466253
61,5.101479126,4.629277399,4.831017036,5.385829154,4.478301468,4.666768561,5.038215906,4.453226767,4.701799078,4.989395651,4.998406814,4.919042987,5.204842609,4.598186623,4.574504299
62,5.183558701,4.577581256,4.668557973,5.165245621,4.950933214,4.931385238,5.421121895,4.869376076,4.6085797,5.174955168,4.76994793,5.028155328,5.420073177,4.670200286,4.877786667
63,5.262883208,4.627039257,5.014524414,5.40324804,4.844616405,4.527696968,5.450958681,4.993447033,4.435027841,5.006248321,4.769642455,4.817908386,5.011506992,4.728739393,4.806501341
64,5.285313218,4.87336972,4.857799289,5.077907202,5.042397369,4.550881079,5.132940783,5.00034204,4.723103847,5.286331758,4.515030763,4.489448344,5.246985115,4.746638757,4.916329204
65,5.322731751,5.050227524,4.704472671,5.310811427,4.588709716,4.482400996,5.171542539,5.019292301,4.682381234,5.203098118,4.505427894,4.603230265,5.337808123,4.537126884,4.813879767
66,5.170613975,4.615913717,5.014627248,5.154081869,4.433725519,4.829157753,5.263424156,4.712603482,5.061615669,5.334995594,4.569277543,4.951869205,5.049682233,4.812984152,4.418676297
67,5.161688332,5.109634959,5.079953571,5.119603256,4.688762488,5.061678412,5.188645287,4.913639535,4.76117045,5.211449,4.78096621,4.737021561,4.926074612,4.523972772,4.571272121
68,5.542095639,4.786203862,4.565567419,5.363126025,4.669863503,4.581215841,5.037645739,5.02409873,5.098754686,4.991329206,4.891345829,5.088932373,5.310421304,4.989364124,5.106106489
69,5.242632486,4.564741365,4.562083838,5.132592313,5.089203466,4.732394081,5.387569297,4.619266757,4.709768541,5.497436315,4.971765189,4.634088364,5.364335707,4.719044403,5.065971602
70,5.467383767,4.907078598,5.009179329,5.13462128,4.703356316,4.6239605,5.371158658,5.105756159,4.544134376,5.384496511,5.04222493,4.855935524,5.366271042,4.588510711,5.011932564
71,5.440362087,4.95739139,4.601389349,5.352584317,4.73042111,5.074454972,5.150127524,4.772423369,5.013072677,5.476955202,4.521705017,5.056657211,5.259837827,4.685266566,4.686346463
72,5.271144724,5.042395751,4.565063009,5.306329737,4.918114387,4.6011805,5.101567795,5.159051514,4.897202864,5.221117561,5.017268043,4.932728444,5.355968288,5.061218945,4.627414399
73,5.417940384,5.176007229,4.740925456,5.522478312,5.131934492,5.150293343,5.400831035,4.496482385,5.168369547,5.458552893,4.920352204,4.836948825,5.338688652,4.773002506,4.855034926
74,5.561344522,4.875141054,5.14400872,5.469463613,4.663984325,5.185152533,5.249927115,4.698512412,4.767037713,5.355517072,5.011010792,4.560153661,5.37117112,4.580947581,4.745414444
75,5.233025302,4.741812378,4.923907099,5.298295484,4.948296527,4.970024933,5.213027506,5.054641217,4.619243411,5.07909648,5.102845741,5.14542137,5.461718063,4.999041747,4.92559645
76,5.552072632,4.623682782,4.951913178,5.292382744,5.006075287,5.09861381,5.430316969,4.861589814,4.927107439,5.140885758,4.893854281,5.220465871,5.47414015,4.81536299,4.856748038
77,5.60952075,4.858449515,4.971028709,5.55336437,5.156429126,4.75252844,5.453047621,4.795670089,4.739762089,5.369890467,5.024366885,5.066380795,5.497282546,5.006596077,4.82325206
78,5.419664791,5.2305015,4.922793578,5.173056079,5.143729128,4.648424812,5.279375853,4.954687827,5.089815974,5.486023739,4.700926695,5.163048359,5.438153853,4.958546302,5.011458057
79,5.39602921,5.250878988,4.934459228,5.243546305,5.000028338,5.051263454,5.620483345,4.662760859,4.694276808,5.295613932,5.115049187,5.170621619,5.29390792,4.83528915,4.769210687
80,5.297471131,4.716076082,5.261361862,5.104802833,4.666566799,4.946821433,5.402002745,4.766764056,4.937019436,5.422124016,4.782933828,4.939648915,5.490863944,5.155890406,5.229843948
81,5.416951101,4.985688671,5.164377495,5.559834483,5.005925473,5.004995127,5.071615781,5.101757502,4.809661893,5.385369405,5.102123603,5.198573748,5.531011642,5.265056872,5.044980066
82,5.099421571,4.826091151,5.007660901,5.509629334,4.950348301,5.27542149,5.522191947,4.847683193,4.854581414,5.043470816,5.065571565,5.236764828,5.531718266,5.120214494,4.790732812
83,5.225675735,5.110976935,5.238827433,5.290570215,5.229538225,4.888808994,5.384224209,5.118180395,4.906177567,5.265380147,4.710263344,5.287321058,5.531411971,4.989572028,5.118585181
84,5.579860779,4.815934813,5.11277269,5.177504795,5.249382715,4.735859028,5.538996979,5.277727107,5.312152398,5.483894032,5.227631476,4.837627799,5.580828324,5.258044542,5.289271158
85,5.420427804,5.183643862,4.890557553,5.283002744,4.974988198,4.805540667,5.389752898,5.317165373,5.068185718,5.087199063,5.268543252,5.311797992,5.66474478,5.141984821,5.241152051
86,5.329099781,4.67787226,5.004274294,5.308249847,4.935362801,4.955390644,5.453882808,4.992185103,4.91066105,5.265643432,5.3067925,5.200756359,5.601653922,5.230017326,5.192085371
87,5.35716666,4.880885452,5.098445382,5.516099823,5.124148047,5.300658414,5.598376953,5.169299924,4.81231699,5.514263853,5.30323416,5.342559877,5.111865394,4.95594092,4.774241728
88,5.256433832,4.762945809,5.131803515,5.545598547,5.216815996,4.940113079,5.337417516,5.216444352,4.772298944,5.498351666,4.760772002,4.819810776,5.353790633,5.24034223,4.867253794
89,5.155491484,5.288176291,5.027329333,5.425128463,5.204318647,5.164566213,5.394014945,5.037884291,4.997528515,5.362509484,5.167395738,5.115711163,5.29121825,5.261047466,5.337280432
90,5.400858221,4.909844823,4.834674035,5.488798029,4.913405102,5.367198073,5.49089203,5.145501811,5.196514825,5.478518056,5.127555882,5.333142726,5.300578382,5.290445834,5.096821045
91,5.606114623,5.340738887,5.343696897,5.562148349,5.181583568,4.846325684,5.467497523,5.340888653,5.18184971,5.352434192,4.746675988,5.385135606,5.435868018,5.006529522,5.081161089
92,5.457959858,5.291833393,4.919270608,5.457561314,5.078243312,5.348445877,5.65780856,5.193940203,5.308253125,5.392724992,4.982787002,4.826229776,5.500211047,4.968889615,4.882347403
93,5.400438047,4.969229387,5.278991262,5.585590125,5.119768746,4.931773113,5.620192262,5.157298362,5.216791377,5.700601122,5.060738328,5.121891671,5.759899383,5.228077538,5.145326518
94,5.391002771,5.371289513,5.163905922,5.266932366,4.928796834,5.321261524,5.434466051,5.066520725,5.221603538,5.578845511,5.205282743,5.423723269,5.727849519,4.956334455,5.196782095
95,5.577539113,5.336553119,5.270716291,5.460085728,5.362595003,5.203138527,5.386064378,5.405189766,5.063320279,5.176028306,5.329898852,4.80728363,5.5484654,5.354023392,5.100692187
96,5.660711234,5.451339154,5.3665011,5.656433411,5.063572207,5.165071331,5.369806031,5.240181751,5.314909189,5.443150762,5.406739346,5.214703457,5.556458188,5.319077746,5.17485366
97,5.51899232,4.864549924,5.350152623,5.462173371,5.003614825,5.163181287,5.787376151,4.962062722,4.843893627,5.484129962,4.984111415,5.072207416,5.33990719,4.874272471,5.267552828
98,5.392287257,5.269501076,5.277771021,5.598802039,5.451995409,5.446440524,5.648260686,5.445064067,5.285835544,5.248339694,5.257488249,5.152261661,5.519953464,5.37601273,5.22972984
99,5.694230356,5.139758533,5.407231415,5.722966251,5.368125034,5.450515141,5.489527529,5.443181267,4.909004897,5.629856383,5.391399061,4.9286999,5.412273644,5.154730603,5.094968581
100,5.602572507,5.401625451,5.43127439,5.53572385,5.433290149,5.104070293,5.682811351,5.190680219,5.0399294,5.602338129,5.166097853,5.420532577,5.366903719,5.407043754,5.359994434
101,5.621892114,4.863619984,4.931824715,5.567465533,5.361964602,5.116176993,5.802223745,5.218816033,5.256369393,5.648674397,5.127393202,5.127994735,5.791945182,5.199322275,4.885771292
102,5.348457169,5.372739988,5.094713202,5.562537227,5.092283116,5.01079917,5.309732138,4.950452378,5.013480877,5.580770995,5.116322208,5.074846683,5.441978488,5.05981436,5.483907591
103,5.441918349,5.224401689,5.380477773,5.326425061,5.237515816,5.491434869,5.73788558,5.183355649,5.343939079,5.705510399,5.369217446,5.413276029,5.506069518,4.918006739,5.385716541
104,5.511129445,5.449660951,4.943437943,5.47882003,5.134556615,5.470775577,5.829431469,5.133145154,5.493312515,5.804048446,5.242134139,5.017950728,5.479102381,5.151644431,5.487069116
105,5.824631077,5.266113651,4.907990258,5.237894131,5.503819232,5.147807594,5.321668087,5.015943712,5.131362037,5.702997081,5.204750373,5.535828089,5.420222836,5.232541782,5.128106835
106,5.609226765,5.516063212,5.11270301,5.770381708,5.256131673,4.911113229,5.367218513,5.299640778,5.042799669,5.584473479,5.259480058,5.410459907,5.672921611,5.017460201,5.54116783
107,5.437986017,5.236716604,5.36863785,5.634674387,5.208852664,4.960213026,5.700910572,5.173481351,5.058832392,5.545423898,5.371924603,5.129368436,5.374185433,5.334343333,5.54115083
108,5.406263521,5.43573822,5.07563357,5.606273954,5.020174294,5.226425305,5.481870332,4.922932544,5.430992932,5.285927152,5.520968083,4.926637104,5.580275886,5.11852115,5.14605633
109,5.290343697,4.901751534,5.137866546,5.544486252,5.330413132,5.411896009,5.597892348,5.030733922,5.463817494,5.616806958,5.552504442,5.576684046,5.869676979,5.221325696,5.49231445
110,5.782669965,5.391246854,5.552512699,5.630816097,5.066706704,5.451622544,5.867066339,5.569348025,5.428641682,5.396343893,5.333869065,5.35580055,5.639696576,5.044617222,5.300084238
111,5.764745131,5.190369667,5.076032761,5.829504365,5.453409713,5.178710298,5.791275087,5.331796182,5.547898902,5.640891942,5.264768492,5.24134004,5.420299726,5.543923225,5.035536241
112,5.570097934,5.60581167,5.369037581,5.610273502,5.113643801,5.359951483,5.370673302,5.10507864,5.244047534,5.52082173,5.385764753,5.074847581,5.545412766,5.51750178,5.616697496
113,5.726380418,5.579675223,5.603780986,5.582937783,5.112679304,5.438174168,5.629668819,5.185888378,5.014674409,5.302287859,5.391095353,5.016185172,5.785429553,5.371175299,5.283120435
114,5.831801012,5.499387971,5.353859101,5.306186257,5.063318409,5.591817341,5.470973384,4.988720455,5.429166498,5.400336854,5.499692338,5.284397902,5.686242835,5.050060464,5.100367277
115,5.737799676,5.36073836,5.427019967,5.595473549,5.287503138,5.026771808,5.590065877,5.621097424,5.531743591,5.374222632,5.357842852,5.128779498,5.485621488,5.545191213,5.535618752
116,5.368889272,5.38199971,5.149487116,5.484782595,5.01675651,5.222915517,5.494692343,5.335021168,5.020366279,5.615020288,5.083315429,5.207209491,5.281274899,5.470636987,5.540824082
117,5.679906285,5.304351086,5.331654661,5.521109022,5.508553849,5.042395565,5.846689404,5.635089308,5.619206934,5.645878155,5.040730583,5.157577654,5.701710704,5.136167514,5.586396508
118,5.711313883,5.564931163,5.580455246,5.712105578,5.434962969,5.428018156,5.481060393,5.116625086,5.232006535,5.808397475,5.401822297,5.439427531,5.687882325,5.291030716,5.507144796
119,5.599402259,5.210083003,5.188539059,5.715063765,5.561681655,5.072576731,5.642361984,5.643227328,5.29879357,5.85634641,5.630448049,5.134454972,5.823317669,5.538810463,5.279992375
120,5.841346054,5.630627384,5.268588146,5.623581031,5.612045841,5.030340393,5.387537581,5.458511819,5.153948186,5.689340963,5.118777994,5.230064724,5.621972291,5.363664226,5.047540914
121,5.836027011,5.559949291,5.56271532,5.73947644,5.610776702,5.488682828,5.375691281,5.471194053,5.482922154,5.416621074,5.111066054,5.410659069,5.693320657,5.075794917,5.530507608
122,5.847325688,5.566264487,5.441940364,5.843899749,5.218134259,5.371909441,5.867092159,5.554645476,5.692764739,5.852988675,5.423868255,5.634533759,5.908870363,5.220819644,5.358745705
123,5.65157687,5.392130011,5.537333006,5.700090703,5.332066023,5.223815791,5.767669364,5.139846939,5.606562005,5.836251536,5.32750369,5.56981708,5.782248779,5.355966998,5.49758815
124,5.62816562,5.353767647,5.685720259,5.757880707,5.594660188,5.282709239,5.834062139,5.200509553,5.395453886,5.545713512,5.54884904,5.281687175,5.687309668,5.54984403,5.296658959
125,5.803186836,5.351347091,5.241501328,5.973180741,5.545276181,5.640998453,5.571849429,5.532943971,5.223239256,5.628771615,5.41798346,5.344830129,5.521025493,5.598840566,5.306129311
126,5.954893925,5.722063328,5.301220385,5.941769478,5.536163766,5.518710518,5.943172278,5.667063874,5.339891214,5.680833898,5.078471091,5.582701203,5.887471522,5.415407658,5.077026271
127,5.824611923,5.731165878,5.632391599,5.97031837,5.466294142,5.455270186,5.670354069,5.515664924,5.435248812,5.759370474,5.117724837,5.620533904,5.439641812,5.272345881,5.71204359
128,5.74325533,5.653358997,5.537320994,5.681305655,5.118105414,5.632328746,5.775953224,5.358956545,5.717408534,5.889754782,5.448966753,5.669027072,5.942337675,5.432902679,5.258946429
129,5.790979587,5.752338353,5.489330991,5.388260438,5.548997087,5.723197019,5.512307849,5.201853872,5.721323012,5.485688513,5.613037529,5.679328776,5.745581307,5.49768733,5.741584795
130,5.490646623,5.425022982,5.545123034,5.871898865,5.592423341,5.466997533,5.647808774,5.290202271,5.626584999,5.799568195,5.731255286,5.375466671,5.666498805,5.441693131,5.601804327
131,5.643335195,5.544543874,5.473578671,5.379126063,5.705937772,5.428495852,5.884298335,5.410806885,5.414331787,5.910182933,5.345036977,5.613001844,5.772334053,5.352464123,5.641095539
132,5.775342686,5.141176761,5.222332895,5.938635933,5.37407264,5.692122305,5.492564344,5.333606934,5.582312248,5.579014425,5.514206379,5.436733661,5.701366976,5.585878424,5.582114232
133,5.581409035,5.523921047,5.752795448,5.811605754,5.767559866,5.476660417,5.832892512,5.726071371,5.770412055,5.758294326,5.622299383,5.638122497,5.662794972,5.193935233,5.430014218
134,5.879774225,5.649416439,5.649972823,5.446863288,5.25483199,5.784882024,5.845971163,5.796170459,5.190735855,5.816342813,5.378994201,5.333140892,5.930229737,5.398847069,5.702040113
135,5.864880748,5.470457852,5.122416333,5.810852325,5.24754749,5.485237982,5.720923847,5.506828363,5.618637487,5.963460287,5.549930452,5.418294861,5.710251364,5.283374211,5.179482364
136,5.512606718,5.265047715,5.211824503,5.473645319,5.711096272,5.27820361,5.772401938,5.266385437,5.252880363,5.950162519,5.299884525,5.550995836,5.51570921,5.496152721,5.794255255
137,5.884477513,5.191702297,5.463655245,5.768186277,5.383483452,5.747848666,5.758601931,5.477448425,5.161112179,5.917010665,5.802808805,5.331287978,5.829295208,5.14233125,5.681978089
138,5.628190921,5.495741277,5.759287224,5.864315711,5.267485733,5.65361541,5.597525173,5.629873453,5.518954635,5.953115976,5.829328745,5.791923582,5.812726654,5.419720959,5.527406683
139,5.695733248,5.655205951,5.217084323,5.836493726,5.766180955,5.808757613,5.854994164,5.520521858,5.735697438,5.88053247,5.146728277,5.538331324,5.88719231,5.771218913,5.38857967
140,6.006801806,5.633045943,5.297849322,5.962128026,5.507346635,5.514735892,5.802903992,5.680944066,5.624169208,5.550548781,5.378699063,5.614194446,5.676113599,5.424593536,5.722522285
141,5.75659611,5.737339399,5.487452097,5.724803488,5.24890538,5.807111256,5.81897499,5.705656425,5.421196746,5.943126951,5.196795637,5.224327382,5.844613034,5.64289102,5.786105773
142,5.749669239,5.458174336,5.63871388,5.540775085,5.223466961,5.429605086,5.974751492,5.356307801,5.783058842,5.97569159,5.817373201,5.368272754,5.405987564,5.841794377,5.808595731
143,5.873123651,5.698592104,5.198724556,5.582777753,5.760227975,5.817702861,5.982218675,5.856530159,5.426041295,5.97522164,5.253927503,5.62767398,5.890108526,5.586812059,5.406151529
144,5.984565879,5.278980412,5.77944483,5.863104999,5.585458303,5.661697983,5.764357638,5.264523524,5.629105868,5.729612229,5.336207192,5.44814176,6.022407182,5.772596373,5.398542623
145,5.503789635,5.444694101,5.455595656,5.998881968,5.608381926,5.717680551,6.020744209,5.205994953,5.501012491,5.893846813,5.268509402,5.7048384,5.625873605,5.836995941,5.577485786
146,5.988235952,5.722427455,5.576637373,6.003373013,5.360434859,5.553177703,5.854895818,5.58564248,5.658520546,5.536446472,5.4832329,5.665828715,5.824567569,5.817137767,5.682365808
147,5.99771142,5.778641624,5.776647706,5.918918369,5.527946834,5.501555546,5.560094661,5.557340999,5.660508691,5.538719123,5.375646276,5.756469265,5.905997732,5.707657859,5.614355595
148,5.70403667,5.756090916,5.495909188,6.054446578,5.826140893,5.343218862,5.78750414,5.845363514,5.312295909,5.519280046,5.77436165,5.222162115,5.712853011,5.693457299,5.319075716
149,5.460409361,5.69337508,5.490588257,5.875199551,5.522345279,5.776408695,5.839801444,5.671414344,5.499645398,5.851603983,5.898111223,5.526034675,5.701190814,5.555067019,5.75675819
150,5.778885618,5.848598472,5.336624192,5.823502852,5.793457985,5.565328844,5.515001541,5.741518096,5.638375395,5.583773003,5.372517053,5.470281227,5.6439343,5.53897145,5.643796333
