order,Target 1,attribute a,attribute b,Target 2,attribute a,attribute b,Target 3,attribute a,attribute b,Target 4,attribute a,attribute b,Target 5,attribute a,attribute b,Target 6,attribute a,attribute b,Target 7,attribute a,attribute b,Target 8,attribute a,attribute b,Target 9,attribute a,attribute b,Target 10,attribute a,attribute b
11,4.71974301,2.950701135,3.346184162,4.23749845,3.488129645,3.055012781,4.410321118,3.090592811,3.265176852,4.524640768,2.975767602,3.475143267,4.568487693,3.098325819,3.048820656,4.387816851,3.125948753,3.246443159,4.518964221,3.506430144,3.546836848,4.511170626,2.911307982,3.034771172,4.669088349,3.126404678,3.260348159,4.398337875,3.422233809,3.262053122
12,4.27351135,2.820629682,3.200510385,4.364502428,3.519596586,3.258598326,4.411629742,3.602067573,3.154292184,4.385394595,3.313953706,3.162715689,4.367782485,3.489681919,3.092392395,4.529170604,3.030633503,3.101216116,4.555654381,3.538568196,3.223786755,4.597559104,3.427336892,2.761142348,4.713891691,3.049325583,3.460476126,4.288866805,3.037845465,3.516262123
13,4.495672664,3.272859096,3.537917664,4.529620016,3.276014213,3.272043644,4.524871612,3.320188994,3.424589522,4.48004618,3.45761321,3.586367452,4.647734539,3.237590443,3.277934757,4.587150181,3.420871154,3.5175346,4.300731003,3.62709361,3.632365392,4.607139938,3.504371357,3.649150878,4.735145736,3.587475663,3.420869376,4.7266384,3.361170655,3.175237182
14,4.741722838,3.756194931,3.013069419,4.38873664,3.367566896,3.173234835,4.539554034,3.315088749,3.717678573,4.645174538,3.277066653,3.439111238,4.459436048,3.698954002,3.62537172,4.53119002,3.431806948,3.591763359,4.532645011,3.08813917,3.599973575,4.624764238,3.285367101,3.2419444,4.556586047,3.525312957,3.215450261,4.475047379,3.529227613,3.559105589
15,4.484166011,3.380154665,3.606765354,4.819542699,3.611494582,3.376634482,4.520805175,3.247344032,3.199582127,4.818017204,3.363530942,3.505480296,4.722278208,3.352327114,3.581695823,4.760320601,3.513215818,3.444250204,4.787319364,3.397668256,3.491040462,4.584861897,3.602625187,3.552784085,4.498273936,3.36627814,3.726990579,4.427463847,3.060176698,3.560450283
16,4.738015419,3.381955697,3.585759981,4.65499843,3.336604966,3.207357018,4.650234932,3.652845085,3.139390986,4.77025019,3.462723953,3.649178232,4.719462654,3.772149904,3.329691566,4.690625861,3.555785397,3.275451997,4.857870548,3.22920943,3.170880717,4.436440659,3.534783197,3.463602902,4.920519265,3.464461594,3.511310343,4.42294056,3.636674559,3.434862656
17,4.50607298,3.531886352,3.614908169,4.615397968,3.36390586,3.685108839,4.541746018,3.444673132,3.686326684,4.502925822,3.759435411,3.525136135,4.77175484,3.15688174,3.72230484,4.598749961,3.603599094,3.433870793,4.821132751,3.92091115,3.633230507,4.665921271,3.731411129,3.787915,4.874022531,3.364974655,3.773061613,4.854957513,3.451842533,3.416734161
18,4.779055628,3.551881918,3.862754923,4.411909592,3.824577523,3.780707667,4.881824559,3.758038868,3.569570139,4.353929792,3.288066133,3.718007177,4.725574581,3.708862409,3.723583351,4.904970347,3.677774416,3.771755569,4.604876417,3.362649167,3.79829597,4.473276171,3.804103193,3.251786257,4.8357101,3.803713761,3.326274818,4.717480228,3.628295169,3.889837037
19,4.443518379,3.792266416,3.599774373,4.740619117,3.826436328,3.328251951,4.758941593,3.866513255,3.885764575,4.412438183,3.50193408,3.544016082,4.634448709,3.572208717,3.987900051,4.777066067,3.474881838,3.853328936,4.818109882,3.486325766,3.800759021,4.636013311,3.914176389,3.383779427,4.820500462,3.905190793,3.735372959,4.523750727,3.417205675,3.430765284
20,4.772540239,3.574882581,3.598679958,4.944779323,3.917051868,3.613031896,4.832311752,3.845415497,3.614764309,4.829995402,3.647001232,3.91322509,4.749247524,3.68468677,3.701430932,4.534785491,4.005768264,3.881852768,4.413313187,3.288038003,3.852369567,4.661209774,3.39160613,3.956358888,4.95118953,3.719116613,3.483660637,4.72776159,3.828639893,3.362499161
21,4.937095117,3.720861431,3.931673491,4.432527669,3.947215098,3.920892616,4.800351904,4.046956303,3.839194096,4.917283824,3.891919682,3.497177691,4.757224616,3.971766616,3.753049293,4.771750466,3.819576222,3.944345933,4.491217477,3.826157689,3.930294069,4.698279506,3.375974226,3.749052152,4.734265853,4.092637853,3.662088556,4.880724774,3.747387583,3.350378953
22,4.87216715,3.909338817,3.988516447,4.717453953,4.024362862,3.711000368,4.612306137,3.866785894,3.765677485,4.447605123,3.651438291,3.996298546,4.883933345,3.690452173,3.941217389,4.886018486,3.419892206,3.902960378,4.880716842,3.981683224,3.924347174,4.915105114,3.728290076,4.05987429,4.470163911,3.826572967,4.087591872,4.893934671,3.824838707,3.739137518
23,4.919540145,3.808405743,4.071795766,4.432409407,4.157520584,4.120378105,4.764907074,3.905906649,3.9042663,4.849003788,3.552613448,4.160344236,4.65168469,4.019002046,3.935072147,4.774589339,3.847709884,3.913490935,4.732894772,3.952650162,4.075209958,4.752393688,3.871379613,3.953835684,4.8629243,4.054006517,3.957282599,4.469670784,3.810992354,4.062992163
24,4.464372463,3.71206185,3.971095853,4.477215743,3.739131486,3.860827836,4.796227512,3.866070571,3.892881177,4.866168939,3.987463491,3.927483067,4.621012757,3.77796166,3.583524873,4.614295715,4.15430233,4.064016865,4.750100757,3.971539733,4.009727225,4.70752176,3.942144733,4.01191155,4.738729914,3.879906426,3.493763795,4.511710668,3.965612319,3.89275002
25,4.44424598,3.790910548,3.981322382,4.708104579,3.566182829,4.110319509,4.71197174,4.078933473,3.592144345,4.853262265,3.891399708,4.116177679,4.8078523,4.173737783,4.094643334,4.613124536,4.15539393,3.555952268,4.526367987,4.04577225,4.150100803,4.495410157,4.194983905,3.867731495,4.816011116,3.739757946,4.13483241,5.038577009,3.756294776,3.831560626
26,4.694934435,3.959065903,4.008921398,4.967488244,4.026704409,4.107270627,4.55500135,3.778733699,4.032976691,4.64569607,4.147863737,3.570170297,5.038033785,4.12973863,4.084871915,4.767404468,3.666655877,3.956442363,4.80597841,3.859872185,4.020821839,4.822725004,3.837574039,3.646974453,4.713904333,3.702415346,3.944440798,4.900270743,4.031548415,4.135996372
27,4.83438428,3.672810749,3.859400415,4.87789978,3.875532808,3.866975009,4.751919407,3.715012443,4.024181793,4.730616846,4.163795062,4.189775973,5.04238277,3.71508781,3.658617808,4.909228227,3.926417123,4.053103281,4.621294087,3.663949417,3.675601441,5.00718849,3.950271983,3.850808944,4.584355436,3.790101777,3.961451321,4.740320482,4.040905541,4.094190626
28,5.012061107,4.260949495,3.779442039,4.731580417,3.850434602,3.842251781,4.624411206,4.151456361,4.029017284,5.012542977,3.863450675,3.745668465,4.838516355,3.839706971,4.143490322,4.810292261,4.211790631,3.637521774,4.987157202,4.255219536,4.238686573,4.971253067,3.879244736,4.166878413,4.548443864,4.087806529,4.288126562,4.596166783,4.12913745,3.973148363
29,4.883451705,3.764297507,4.224100867,4.790084187,4.190322725,3.981475709,5.055792783,3.684365579,4.047232766,4.646193727,4.186257794,4.195743605,4.894834196,3.985980653,4.000265491,4.948823459,4.271036427,4.294800662,4.816710649,3.765399824,4.230348886,4.566627922,4.264312258,4.187964756,4.985801203,4.14006737,4.333569271,4.848557666,4.123872412,4.015427368
30,4.84592585,4.301243726,4.14338543,4.965686984,3.779778921,3.828060827,4.539400262,4.116080668,4.246683661,4.962806664,4.327596144,4.151204009,4.803271675,4.004026741,3.863963683,5.002290141,3.736077227,4.328100708,4.65527799,3.764531492,4.176560084,4.910378984,4.212264823,4.297204916,5.067653785,3.928587189,4.306969245,5.067593705,4.069987673,4.091027067
31,4.95323782,4.190157652,4.335249959,4.956616985,4.193210948,4.319619883,4.871234213,4.269376393,4.228052202,4.716195154,4.369399831,4.183470216,4.815996585,3.842089839,3.835571562,4.678430228,4.011906464,4.060378202,4.918830631,4.354536921,4.194913143,5.06474918,4.239600618,4.299164882,4.913457563,4.295609589,3.922126093,4.979410068,4.324777033,4.351742649
32,4.875183492,4.213287078,4.417168696,5.132272026,4.164300724,4.421159805,4.920195198,3.925207969,4.127146243,5.101881289,4.246120901,3.858047604,4.808994875,4.202929066,4.146043855,5.105006459,3.928538988,4.175632091,5.100536056,4.196549838,3.846546518,4.808801948,4.140145201,4.092030214,4.840288349,4.130320278,3.951266272,4.766024337,4.302313405,3.871314883
33,5.044325606,3.802297381,3.997628556,4.897114852,4.396711969,4.322029448,5.145456111,4.114041158,3.912585084,4.814676066,4.255321849,4.45452328,4.844334212,3.779600062,4.021070172,5.033627457,4.323762166,4.294893758,4.868951328,3.945326356,4.187573995,4.739640059,4.033508574,4.132734484,4.875189666,3.809836127,4.283026202,4.979231301,4.305183595,3.957487489
34,4.906483473,4.499816781,4.093095075,4.939163102,4.466606791,4.425556932,5.138445383,4.200442153,4.019411056,4.900661932,4.358356554,4.43182296,5.110070357,3.949519942,4.299065278,4.843190638,4.277548377,4.213070611,4.899792109,3.917556339,4.299919515,4.799753843,4.148780351,4.179456627,5.02647629,4.379998348,4.235211705,4.626828144,4.369944442,4.035046499
35,4.910931969,4.172957598,4.297133476,4.868334777,4.427096837,4.495954426,4.912899296,3.846509917,4.400884088,5.068014033,4.451490768,3.818091902,4.801019025,4.111684856,4.485066277,4.730614729,4.316160801,4.462289254,5.129024712,4.535971739,4.473286319,4.904921888,4.5074073,4.376733189,4.888051555,4.252459542,3.959667059,5.002091313,4.070943167,4.157763155
36,5.060094609,3.962337507,4.259121798,4.873557305,3.944076595,4.379342184,4.951475057,4.117581707,4.373019566,5.151690056,4.151476983,4.161376706,5.104162026,4.49965139,4.147384176,4.949467587,4.186011681,4.21473634,5.018542799,4.297798015,4.284104249,4.952335525,4.470368753,4.330493121,4.969769661,4.277490959,4.251673303,4.6926183,4.098752283,3.998216037
37,4.925499863,3.968608966,3.972062802,5.170492087,4.090221402,4.435941681,4.780005477,4.175850559,4.192356559,5.070573855,4.068043245,4.50818583,5.04945804,4.514577558,4.359359423,5.07352203,4.075331652,4.080986094,4.926356641,4.091554126,3.951028574,4.748882407,4.224051387,4.4398511,4.793333912,3.995720961,4.499019426,4.963815537,4.560157885,4.285724229
38,5.025375053,4.164313285,4.54354348,4.963030669,4.234378333,4.262321993,4.85885872,4.178608683,4.24616269,5.188470154,3.979274103,4.431890971,4.96785075,4.366730853,4.10340615,5.027534889,4.492847034,4.176777172,4.930123735,4.570413841,4.354207866,5.00530644,4.563412289,4.287875363,4.95509426,4.059137728,4.216899609,5.04625368,4.372443787,4.031871732
39,5.083570777,4.589794693,4.131305594,4.996789199,4.395003044,4.051109054,4.960420313,4.465082579,4.225706383,5.044102114,4.518547371,4.291931415,5.066676547,4.275438829,4.235266222,4.933798306,4.049722075,4.345548648,4.759667085,4.480965019,4.357609887,4.985080365,4.008108264,4.155696009,4.849955317,4.579436695,4.358104191,5.116245484,4.591734875,3.920635795
40,4.827207284,4.227584535,4.257251568,5.071964768,4.609977186,4.386767645,4.90392053,4.429843709,4.438627602,4.763912223,4.515629529,4.21724562,5.049508792,4.558952646,4.627150708,5.232558445,4.32625057,4.162385425,4.938349361,4.311612478,4.31605551,5.099248358,4.208247487,4.164600979,5.02236741,4.59325929,4.618124655,5.163989532,4.221309566,4.376890552
41,5.22129219,4.021026645,4.0332296,4.945747836,4.159018239,4.386074894,5.047441677,4.462654056,4.512942615,4.822954301,4.225265352,4.442634743,5.209658247,4.588227593,4.098269921,5.036127574,4.404913711,4.429790965,4.861240032,4.557300094,4.602292684,4.846141036,4.217724678,4.376920691,4.852158564,4.464596739,4.569769758,4.77130136,4.030954969,4.297411744
42,4.843211938,4.444892707,4.448596765,4.978068332,4.565926382,4.053246392,5.209984223,4.543069235,4.467382217,4.95417949,4.642328471,4.660735552,4.929753689,4.365856471,4.249536144,5.003344345,4.118720648,4.078419022,4.902792674,4.612195747,4.202805619,5.074148904,4.205775557,4.638836504,5.084136212,4.548397036,4.5760944,4.89779397,4.376782069,4.448939172
43,4.991198018,4.126565186,4.540109101,4.953936532,4.414342407,4.327469898,5.056442273,4.065029797,4.587314284,5.160746277,4.234052363,4.492762313,5.117413801,4.564599394,4.630322198,5.027392598,4.153709369,4.482235195,5.188826645,4.197344665,4.703589606,5.188648559,4.185625754,4.553681719,5.118562764,4.155372367,4.355363489,5.005826106,4.711008308,4.38810691
44,5.115676298,4.015284916,4.269597537,5.14248951,4.3112683,4.505687849,4.954401068,4.508282117,4.555237722,4.830478919,4.749166194,4.472299098,5.149100485,4.544472547,4.424568657,4.873512527,4.420713355,4.101684165,4.988903293,4.313327636,4.063390567,5.018267274,4.088624763,4.273845365,5.18018426,4.236741155,4.485723819,5.057242191,4.353265148,4.670286513
45,5.205598858,4.374651973,4.172026164,5.226259263,4.297445442,4.426739069,4.947078634,4.333321566,4.401220893,5.172900289,4.164407587,4.716997717,5.038177426,4.657257415,4.471200064,5.044744456,4.717873259,4.5935639,5.254838825,4.366387756,4.430827021,4.767835345,4.471165309,4.642879105,4.767468601,4.344363354,4.406182709,5.120979014,4.757753946,4.552120221
46,5.105459362,4.273193172,4.363960734,5.043950951,4.522200727,4.414313487,5.132837378,4.395289097,4.455381267,5.324105864,4.13415369,4.768548306,5.245723085,4.32782614,4.258343627,5.260755394,4.389568737,4.150002311,4.930096198,4.49016835,4.420746398,4.988157735,4.652113676,4.187087357,4.811077547,4.427859175,4.171292753,5.321739102,4.529698932,4.615071281
47,5.068818606,4.412175104,4.431372377,5.134630683,4.376640951,4.260275463,5.210433649,4.72404453,4.146600888,4.949226811,4.449952601,4.711343038,5.097099413,4.47251453,4.444923578,5.195581561,4.258109671,4.541345775,5.302327708,4.702337306,4.610110565,4.901344346,4.126107539,4.517872667,5.277856132,4.488492361,4.330747473,4.756261971,4.434015199,4.510460282
48,5.253236221,4.661088297,4.47357232,4.961357392,4.462791308,4.775604962,4.974091452,4.675203183,4.740457407,5.155785307,4.633204646,4.433677422,5.195392391,4.661186311,4.726473918,5.159575486,4.802773353,4.202938766,5.050756525,4.73052528,4.529583418,5.296339884,4.172752927,4.679285608,5.236789886,4.621115719,4.740420161,5.312490166,4.388613276,4.459860621
49,4.981756382,4.542076439,4.59532579,5.166788839,4.396178882,4.438080372,4.997259207,4.544024413,4.734753808,5.025165116,4.432657006,4.499965168,5.020576255,4.696289602,4.401390784,4.986489399,4.613048307,4.747662324,5.205038929,4.794589438,4.68149709,5.156426687,4.763161129,4.616560027,5.038468064,4.221834333,4.64997102,5.022467859,4.8407244,4.711016242
50,4.896105103,4.399638036,4.38558364,5.204872267,4.266295143,4.340031712,5.045153693,4.208062639,4.81720502,4.962583803,4.614114202,4.851139367,5.102115211,4.757644276,4.163115135,4.915143923,4.334193462,4.572912281,5.197317783,4.41807477,4.201807469,5.041004135,4.65351009,4.28810677,4.932185122,4.451379259,4.689130642,4.974446537,4.493449521,4.632757776
51,5.13815008,4.826643704,4.27584781,5.256089766,4.199788052,4.72752962,5.013160557,4.366246601,4.38603991,5.142926936,4.413363545,4.579955501,4.83503817,4.649479221,4.606383851,5.212912611,4.861525355,4.798900856,4.77735318,4.854115504,4.660682484,5.206950126,4.547123905,4.678040748,4.944798534,4.709364666,4.610588528,5.265562207,4.611632848,4.3633449
52,5.156305052,4.696079165,4.58577563,5.194016489,4.457955008,4.566527845,4.972161711,4.78920998,4.676595561,5.183104757,4.698350165,4.41524881,5.251742912,4.689082137,4.74888806,5.153505807,4.757803829,4.601684638,5.358336128,4.52915529,4.845765855,5.168303268,4.24967546,4.25301796,5.209346304,4.457871971,4.79818925,5.137353943,4.817003301,4.788461912
53,5.092884613,4.46095185,4.6522499,4.900528033,4.639595974,4.469523654,5.289924627,4.838223589,4.360179721,4.87378989,4.430764847,4.210179355,5.195423664,4.704987961,4.637747583,5.09734009,4.410771845,4.716832993,5.025516875,4.492971917,4.830864092,4.955487226,4.784470962,4.700206957,5.105302227,4.800011712,4.618603503,5.080237754,4.496912362,4.499248156
54,5.239427686,4.311344112,4.805743075,5.221070114,4.759245148,4.500726389,5.144852177,4.40527995,4.746621081,5.097564686,4.579091734,4.694829572,5.318710867,4.591307289,4.833066419,4.777966363,4.712122994,4.747268752,5.132663136,4.859223865,4.83158737,5.213147741,4.851607548,4.772629796,5.132259634,4.731088801,4.901888091,5.235781437,4.671547722,4.534896386
55,4.974080813,4.763313781,4.583921177,5.076425559,4.790751165,4.464582203,5.392162885,4.493987857,4.689589075,5.061100149,4.749948279,4.631102573,5.207386074,4.535876537,4.510965353,5.164502436,4.747912206,4.525388701,5.131023627,4.451528847,4.464576701,5.015224367,4.664439475,4.344608756,5.305491541,4.73231646,4.792738994,5.076409956,4.609423846,4.439078655
56,5.357998586,4.660771967,4.489936585,4.957198415,4.575468623,4.590543573,5.283015751,4.628616833,4.782720501,5.294068242,4.723071182,4.381867856,5.333421786,4.745446661,4.423910875,4.921564991,4.277192978,4.675344174,5.28212067,4.924128835,4.862686133,5.114003737,4.280836008,4.569315004,5.160635375,4.338340382,4.740642699,5.178834476,4.900224606,4.772955865
57,5.106815233,4.829813756,4.812611972,5.027610418,4.491872484,4.879850822,5.240997807,4.315794528,4.901725326,5.342372255,4.413690378,4.813107437,5.355077169,4.682156903,4.412387743,5.316030781,4.320030985,4.542964961,4.858906887,4.818316572,4.805196833,5.223299147,4.513365621,4.708122448,5.011223914,4.596695028,4.687165034,5.208748129,4.523676198,4.608133154
58,5.299247878,4.967894582,4.911291288,5.431099547,4.83654054,4.816961276,5.045408633,4.907469038,4.80264044,5.187356308,4.712761624,4.724101339,5.350325607,4.92439636,4.450522284,4.997568611,4.890536816,4.639589687,5.302509676,4.495447627,4.514764967,5.176402117,4.464040611,4.514879897,5.467249368,4.898888379,4.865234378,5.173078683,4.564645091,4.629707723
59,5.376771104,4.830568742,4.503244349,5.102851253,4.583881943,4.897105124,5.01689815,4.793622296,4.72827554,5.252305878,4.977242449,4.631556646,5.450383388,4.822168692,4.593850455,5.060769525,4.835680779,4.840172943,5.356347933,4.659890566,4.882326079,5.385624728,4.622299313,4.308500816,5.34450138,4.942661883,4.856563424,5.102840281,4.481276074,4.698243001
60,5.208689875,4.909428725,4.939640988,5.356745376,4.685507195,4.788701071,5.185653045,4.908646757,4.951428607,5.190669469,4.825340873,4.986832249,5.221860444,4.662867989,4.957142066,5.067399101,4.899135709,4.52799603,5.358939883,4.973828611,4.550649531,5.235793763,4.96908697,4.590473605,5.034958637,4.964447527,5.030316662,5.254643364,4.437962868,4.37974362
61,5.302226452,4.950741176,5.014841799,5.105035571,4.851413771,4.95735526,5.332328747,4.694076723,4.579482035,5.204627492,4.956285424,4.677176611,5.121454692,4.537986379,4.920469637,5.245269494,4.957341991,4.931229793,5.350237726,4.853209208,4.685473082,5.015325917,4.433428295,4.920641772,5.145121481,4.934066291,4.815344145,4.986466224,4.798342143,4.755616114
62,5.280631486,4.58954283,4.762202217,5.018950409,4.96002608,4.454290667,4.984914788,4.353750786,5.044946408,4.940831326,4.972512684,5.018828546,5.016857756,4.53127271,4.396614941,5.213421389,4.958265354,4.756265899,5.412227857,4.740239817,4.566534853,4.947232559,4.368612545,4.86023075,5.230291422,4.909287368,4.963303379,5.245809063,4.944402037,4.503957094
63,5.069668898,5.071988557,4.457866117,4.960012049,4.808826477,4.599340178,5.287068115,4.841360423,4.691042392,5.168545718,4.615701289,5.022486942,5.045951045,4.84935753,4.792889921,5.105776516,4.738573899,4.525098809,5.320794575,4.581244668,4.742965267,5.098092045,4.94199374,4.989715753,5.36240412,4.866292665,4.500055975,5.362336598,4.801070959,4.392666372
64,5.21234025,5.047183666,4.936300443,5.416694176,4.703365153,4.958232339,5.410353707,4.821109585,4.670190435,5.491899769,4.422708256,5.048496254,5.304778473,4.936646405,4.874244332,5.097010003,4.903100869,4.725360456,5.212446929,4.7252388,5.007820384,5.192749317,4.497230133,4.542115309,5.158607874,4.98761018,4.374563913,5.190069463,5.050051792,4.862505368
65,5.089294973,4.942265384,4.903948707,5.162809593,4.697952789,4.546476857,5.193313899,4.728562986,4.645504851,5.342469458,4.799225058,4.850895427,5.406458847,4.841073653,4.97522357,5.203373489,4.526298199,4.976303908,5.373881113,5.098570193,4.467457866,5.114174176,4.834448004,5.087940794,5.235264873,4.719425101,4.44801166,5.209514742,4.764602962,4.484281107
66,5.352428815,4.933674662,4.971256017,5.256647568,4.451958805,4.861708522,5.253990133,4.830260349,4.968826559,5.319372707,4.476812826,4.645479816,5.359471622,4.985485883,5.09990077,5.143118953,4.888551811,4.84952261,5.173071887,4.773311261,5.024907825,5.114579532,4.925297487,4.758634213,5.030657025,4.798992589,4.581827073,5.438066736,4.897358629,5.024713641
67,5.23582626,4.819542133,4.685160445,5.226414026,4.646270621,4.490960848,5.044073863,4.973117988,4.844234274,5.336314992,4.988138519,4.598726384,5.317839099,4.944946669,4.995431226,5.026427077,4.702589173,4.859726157,5.521902317,4.605914923,5.023268408,5.148507425,4.636952574,4.919651492,5.165210789,4.686941657,5.052255958,5.483150344,5.134004476,4.429617265
68,5.446472174,4.641808069,4.749132145,5.099142925,4.732867122,4.926967155,5.490354917,4.777743695,4.960838878,5.305801632,4.477496767,4.988692461,5.172623565,4.927881727,4.66335976,5.279451779,4.939441664,4.883485357,5.547458959,4.896273196,4.987108654,4.997263103,4.685196502,4.843750324,5.300712152,5.058186331,4.615581049,5.360760905,4.773823044,4.607514956
69,5.300830269,4.824058809,4.749306244,5.375187525,4.992695747,5.120514729,5.130179635,4.539251506,5.054145901,5.23408361,4.945609944,5.054922532,5.467302136,4.880828985,5.026265019,5.206401014,4.674823964,5.062716344,5.454074646,5.117854668,4.798004654,5.337443662,4.915884302,4.732424528,5.245938583,5.074641301,4.891311486,5.47925899,4.919049451,5.094003018
70,5.081684171,4.586373699,5.047161637,5.084433596,4.970833485,4.890246444,5.416805362,4.718020383,4.949234357,5.198384727,4.527452803,4.94229862,5.287325081,4.94290626,4.911999316,5.20253164,4.913941954,5.073738106,5.252698641,5.01510508,4.931299404,5.323323879,4.960869624,4.506691495,5.465273503,4.685693678,4.785638128,5.298665291,4.632602702,4.783812625
71,5.48380289,4.962469397,5.123308192,5.024926047,4.857610437,4.758661015,5.147061739,4.693481743,4.847723259,5.411963914,4.801777915,4.986638923,5.328863402,5.068806069,5.064319455,5.035709429,5.057799036,4.610060278,5.339192625,5.113930817,4.881374517,5.333850664,5.013075914,4.882035272,5.226992319,4.902520757,4.667491938,5.404111273,4.695280212,5.052392276
72,5.09726662,4.902051911,5.151944711,5.313150448,5.127483079,4.965973573,5.198262066,4.928225161,5.034145785,5.385926525,4.990566847,4.653948041,5.49280093,4.919175342,4.661257432,5.224063111,4.863064156,4.680278551,5.239802955,5.011143576,5.076364689,5.41417379,5.111753611,4.763105678,5.222947811,4.909779264,4.711044291,5.252017586,4.659987267,4.886520403
73,5.332438874,4.878900307,4.831947724,5.278090463,4.847769066,4.713023471,5.294162041,4.825541467,5.0918671,5.482840085,4.658664284,4.813886468,5.271716663,5.111128366,4.62394826,5.519126487,4.737558707,5.137754346,5.50016138,4.791743844,4.813369692,5.194611016,4.713897094,4.892747128,5.28554981,4.923482645,4.900728363,5.217245248,5.049304106,5.17498466
74,5.599723578,5.124647894,5.127003674,5.335256389,5.018854765,5.058257211,5.495620411,4.603555548,4.786520251,5.485494847,4.650097751,4.790377597,5.356884747,5.224204627,5.033757445,5.375028362,4.803409899,4.706140523,5.38946585,5.065497144,5.011730333,5.419164988,4.979314672,5.137006801,5.166127815,4.990487666,5.066087701,5.285715551,4.626786593,5.074331675
75,5.275588152,5.200837112,4.73177498,5.441556274,4.87451513,5.126447905,5.330074997,4.702405974,5.002208401,5.287180841,4.586007113,4.788227749,5.54921948,4.71562577,4.78026143,5.162121337,4.959816147,4.979236335,5.36437271,5.144421954,5.106730452,5.349408944,5.084568106,4.620731633,5.437614185,4.790347131,4.974365151,5.454101945,4.661444487,5.128849657
